,g,date,age,tm,,opp,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
6,7,2017-10-29,26-230,CLE,L (-19),NYK,1,19:21,0,1,.000,0,0,,1,2,.500,0,0,0,0,0,1,1,4,1,-2.0,-6
7,8,2017-11-01,26-233,CLE,L (-17),IND,1,14:54,1,1,1.000,0,0,,0,0,,3,4,7,0,0,1,0,1,2,5.3,-8
8,,2017-11-03,26-235,CLE,W (+8),WAS,Inactive,,,,,,,,,,,,,,,,,,,,,
9,,2017-11-05,26-237,CLE,L (-2),ATL,Inactive,,,,,,,,,,,,,,,,,,,,,
10,,2017-11-07,26-239,CLE,W (+5),MIL,Inactive,,,,,,,,,,,,,,,,,,,,,
11,,2017-11-09,26-241,CLE,L (-4),HOU,Inactive,,,,,,,,,,,,,,,,,,,,,
12,,2017-11-11,26-243,CLE,W (+7),DAL,Inactive,,,,,,,,,,,,,,,,,,,,,
13,,2017-11-13,26-245,CLE,W (+3),NYK,Inactive,,,,,,,,,,,,,,,,,,,,,
14,,2017-11-15,26-247,CLE,W (+8),CHO,Inactive,,,,,,,,,,,,,,,,,,,,,
15,,2017-11-17,26-249,CLE,W (+5),LAC,Inactive,,,,,,,,,,,,,,,,,,,,,
16,,2017-11-20,26-252,CLE,W (+28),DET,Inactive,,,,,,,,,,,,,,,,,,,,,
17,,2017-11-22,26-254,CLE,W (+10),BRK,Inactive,,,,,,,,,,,,,,,,,,,,,
18,,2017-11-24,26-256,CLE,W (+1),CHO,Inactive,,,,,,,,,,,,,,,,,,,,,
19,,2017-11-27,26-259,CLE,W (+22),PHI,Inactive,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,2017-11-28,26-260,CLE,W (+11),MIA,Inactive,,,,,,,,,,,,,,,,,,,,,
22,,2017-11-30,26-262,CLE,W (+7),ATL,Inactive,,,,,,,,,,,,,,,,,,,,,
23,,2017-12-02,26-264,CLE,W (+5),MEM,Inactive,,,,,,,,,,,,,,,,,,,,,
24,,2017-12-04,26-266,CLE,W (+22),CHI,Inactive,,,,,,,,,,,,,,,,,,,,,
25,,2017-12-06,26-268,CLE,W (+6),SAC,Inactive,,,,,,,,,,,,,,,,,,,,,
26,,2017-12-08,26-270,CLE,L (-4),IND,Inactive,,,,,,,,,,,,,,,,,,,,,
27,,2017-12-09,26-271,CLE,W (+7),PHI,Inactive,,,,,,,,,,,,,,,,,,,,,
28,9,2017-12-12,26-274,CLE,W (+9),ATL,0,5:49,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
29,,2017-12-14,26-276,CLE,W (+9),LAL,Did Not Dress,,,,,,,,,,,,,,,,,,,,,
30,10,2017-12-16,26-278,CLE,W (+9),UTA,0,7:11,2,2,1.000,0,0,,0,0,,0,2,2,0,2,0,0,1,4,5.6,+6
