,g,date,age,tm,,opp,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
26,25,2016-12-15,20-046,PHO,L (-15),SAS,1,36:08,6,19,.316,2,6,.333,3,4,.750,1,3,4,5,2,0,4,4,17,7.2,-18
27,26,2016-12-17,20-048,PHO,L (-13),OKC,1,33:23,11,22,.500,3,5,.600,6,7,.857,1,2,3,5,1,0,6,3,31,18.2,-13
28,27,2016-12-19,20-050,PHO,L (-7),MIN,1,28:33,6,15,.400,1,5,.200,5,6,.833,1,1,2,3,0,1,2,2,18,10.5,-3
29,28,2016-12-21,20-052,PHO,L (-14),HOU,1,35:52,11,25,.440,2,4,.500,4,5,.800,2,4,6,7,0,0,1,3,28,19.8,-5
30,29,2016-12-23,20-054,PHO,W (+7),PHI,1,38:16,8,18,.444,4,9,.444,3,3,1.000,0,6,6,6,2,0,4,3,23,16.4,+12
31,30,2016-12-26,20-057,PHO,L (-16),HOU,1,27:32,6,18,.333,1,5,.200,3,3,1.000,1,1,2,4,1,0,1,6,16,7.2,-17
32,31,2016-12-28,20-059,PHO,L (-21),SAS,1,28:57,2,13,.154,0,2,.000,4,4,1.000,0,3,3,4,2,0,3,4,8,0.8,-15
33,32,2016-12-29,20-060,PHO,W (+8),TOR,1,37:55,6,19,.316,1,4,.250,6,7,.857,0,5,5,5,1,0,1,3,19,11.5,+12
34,33,2016-12-31,20-062,PHO,L (-5),UTA,1,35:32,9,19,.474,1,3,.333,1,1,1.000,0,3,3,1,3,0,1,2,20,13.1,-6
35,34,2017-01-02,20-064,PHO,L (-11),LAC,1,33:10,4,15,.267,1,5,.200,4,6,.667,0,1,1,2,2,0,3,5,13,2.0,+5
36,35,2017-01-03,20-065,PHO,W (+9),MIA,1,35:12,9,19,.474,3,6,.500,6,7,.857,1,1,2,4,1,0,6,3,27,14.5,+9
37,36,2017-01-05,20-067,PHO,W (+7),DAL,1,35:50,9,17,.529,3,3,1.000,1,1,1.000,0,2,2,0,0,1,4,2,22,10.2,+5
38,37,2017-01-08,20-070,PHO,L (-4),CLE,1,45:06,12,24,.500,2,7,.286,2,4,.500,3,2,5,4,2,0,2,2,28,19.9,+2
39,38,2017-01-12,20-074,PHO,L (-5),DAL,1,37:13,14,20,.700,6,7,.857,5,7,.714,0,1,1,3,1,0,7,4,39,24.6,-3
40,39,2017-01-14,20-076,PHO,W (+3),SAS,1,37:03,12,22,.545,3,5,.600,12,12,1.000,2,0,2,2,0,0,3,4,39,26.6,+10
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,40,2017-01-16,20-078,PHO,L (-5),UTA,1,46:02,10,22,.455,1,5,.200,4,4,1.000,0,0,0,1,0,0,3,3,25,10.1,-4
43,41,2017-01-19,20-081,PHO,L (-15),CLE,1,36:59,4,13,.308,0,4,.000,13,14,.929,1,6,7,8,0,0,4,3,21,16.0,-8
44,42,2017-01-21,20-083,PHO,W (+2),NYK,1,37:12,10,21,.476,3,4,.750,3,3,1.000,1,0,1,2,1,1,5,4,26,12.5,-1
45,43,2017-01-22,20-084,PHO,W (+12),TOR,1,37:29,6,14,.429,5,8,.625,3,4,.750,0,4,4,2,2,0,2,5,20,12.8,+12
46,44,2017-01-24,20-086,PHO,L (-1),MIN,1,43:17,9,23,.391,4,7,.571,4,4,1.000,0,2,2,4,0,0,4,3,26,11.7,-2
47,45,2017-01-26,20-088,PHO,L (-7),DEN,1,33:10,9,17,.529,1,6,.167,5,6,.833,0,0,0,6,1,0,5,2,24,14.7,-19
48,46,2017-01-28,20-090,PHO,L (-11),DEN,1,34:52,8,16,.500,0,2,.000,7,11,.636,1,3,4,2,1,1,3,5,23,13.1,+19
49,47,2017-01-30,20-092,PHO,L (-19),MEM,1,38:31,6,20,.300,0,3,.000,10,12,.833,2,4,6,2,1,0,3,1,22,11.2,-11
50,48,2017-02-01,20-094,PHO,L (-10),LAC,1,34:47,7,19,.368,1,3,.333,5,5,1.000,2,2,4,6,0,1,1,3,20,14.2,-10
51,49,2017-02-03,20-096,PHO,W (+2),SAC,1,40:51,11,24,.458,4,8,.500,7,10,.700,0,2,2,2,2,1,1,4,33,21.5,+7
52,50,2017-02-04,20-097,PHO,L (-25),MIL,1,37:42,9,19,.474,5,8,.625,8,8,1.000,1,2,3,4,0,0,5,5,31,18.4,-16
53,51,2017-02-06,20-099,PHO,L (-5),NOP,1,36:53,5,20,.250,1,8,.125,3,4,.750,0,2,2,5,1,2,3,4,14,3.5,-7
54,52,2017-02-08,20-101,PHO,L (-19),MEM,1,31:38,6,13,.462,0,3,.000,8,10,.800,0,1,1,3,0,0,3,3,20,10.7,-22
55,53,2017-02-10,20-103,PHO,W (+18),CHI,1,32:59,10,19,.526,2,4,.500,5,6,.833,3,2,5,4,0,0,1,1,27,21.4,+19
56,54,2017-02-11,20-104,PHO,L (-31),HOU,1,26:01,6,18,.333,1,3,.333,5,6,.833,0,1,1,2,1,0,3,3,18,5.9,-29
57,55,2017-02-13,20-106,PHO,L (-2),NOP,1,36:14,9,19,.474,2,6,.333,1,1,1.000,0,1,1,3,1,1,5,4,21,8.8,+2
58,56,2017-02-15,20-108,PHO,W (+36),LAL,1,29:54,9,14,.643,4,7,.571,1,2,.500,1,3,4,1,0,1,3,3,23,15.2,+29
59,57,2017-02-24,20-117,PHO,L (-7),CHI,1,40:41,10,21,.476,2,4,.500,5,8,.625,0,3,3,2,2,0,4,4,27,13.8,-11
60,58,2017-02-26,20-119,PHO,L (-4),MIL,1,34:46,5,11,.455,2,3,.667,3,4,.750,0,4,4,3,1,0,3,3,15,9.0,+6
61,59,2017-02-28,20-121,PHO,L (-18),MEM,1,35:31,3,11,.273,2,5,.400,1,1,1.000,0,3,3,1,0,1,2,2,9,2.0,-11
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,60,2017-03-02,20-123,PHO,W (+17),CHO,1,30:09,5,12,.417,1,4,.250,4,5,.800,0,6,6,9,0,0,5,3,15,10.1,+7
64,61,2017-03-03,20-124,PHO,W (+7),OKC,1,33:29,5,13,.385,2,7,.286,5,6,.833,0,7,7,3,0,1,6,2,17,7.6,-2
65,62,2017-03-05,20-126,PHO,W (+3),BOS,1,27:23,5,10,.500,1,3,.333,5,6,.833,0,5,5,0,1,0,1,5,16,10.1,+8
66,63,2017-03-07,20-128,PHO,L (-4),WAS,1,37:36,8,18,.444,4,7,.571,5,6,.833,1,3,4,6,0,0,6,2,25,14.2,+5
67,64,2017-03-09,20-130,PHO,L (-12),LAL,1,37:59,10,21,.476,1,4,.250,2,2,1.000,1,5,6,3,0,0,3,2,23,12.8,-3
68,65,2017-03-11,20-132,PHO,W (+2),DAL,1,34:30,12,20,.600,2,5,.400,10,10,1.000,1,4,5,2,0,0,1,2,36,28.3,+15
69,66,2017-03-12,20-133,PHO,L (-9),POR,1,40:30,13,26,.500,0,0,,2,4,.500,1,4,5,3,1,0,3,1,28,15.8,-17
70,67,2017-03-15,20-136,PHO,L (-6),SAC,1,39:36,6,26,.231,3,9,.333,4,4,1.000,1,2,3,2,0,0,1,2,19,4.1,-7
71,68,2017-03-17,20-138,PHO,L (-6),ORL,1,30:20,3,13,.231,0,2,.000,4,4,1.000,0,4,4,3,2,0,3,2,10,3.6,+6
72,,2017-03-19,20-140,PHO,L (-17),DET,Inactive,,,,,,,,,,,,,,,,,,,,,
73,69,2017-03-21,20-142,PHO,L (-15),MIA,1,34:08,4,16,.250,0,4,.000,3,4,.750,2,2,4,5,1,0,7,3,11,-0.7,-29
74,70,2017-03-23,20-144,PHO,L (-28),BRK,1,39:59,9,26,.346,3,9,.333,7,8,.875,0,2,2,0,3,0,3,6,28,11.2,-21
75,71,2017-03-24,20-145,PHO,L (-10),BOS,1,44:58,21,40,.525,4,11,.364,24,26,.923,2,6,8,6,3,1,5,3,70,54.5,-6
76,72,2017-03-26,20-147,PHO,L (-14),CHO,1,35:05,7,17,.412,2,5,.400,7,7,1.000,1,3,4,5,0,1,4,3,23,14.5,-32
77,,2017-03-28,20-149,PHO,L (-4),ATL,Inactive,,,,,,,,,,,,,,,,,,,,,
78,73,2017-03-30,20-151,PHO,L (-6),LAC,1,37:18,13,22,.591,4,7,.571,3,6,.500,0,2,2,9,1,0,3,6,33,24.1,-2
79,74,2017-04-01,20-153,PHO,L (-13),POR,1,42:05,10,25,.400,0,4,.000,11,14,.786,1,2,3,7,3,0,7,2,31,17.7,-6
80,75,2017-04-02,20-154,PHO,L (-7),HOU,1,39:29,7,22,.318,1,6,.167,12,12,1.000,0,5,5,9,1,0,8,4,27,13.6,-3
81,76,2017-04-05,20-157,PHO,L (-9),GSW,1,41:44,7,24,.292,2,7,.286,5,7,.714,1,2,3,5,3,0,2,3,21,10.8,-10
82,77,2017-04-07,20-159,PHO,W (+21),OKC,1,37:40,13,29,.448,5,9,.556,6,8,.750,0,5,5,4,1,0,1,3,37,24.2,+20
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,78,2017-04-09,20-161,PHO,W (+13),DAL,1,22:44,8,15,.533,1,4,.250,4,5,.800,0,2,2,3,0,0,2,1,21,13.6,+13
0,1,2017-10-18,20-353,PHO,L (-48),POR,1,27:04,6,17,.353,0,3,.000,0,0,,2,3,5,2,2,1,0,2,12,8.1,-29
1,2,2017-10-20,20-355,PHO,L (-2),LAL,1,39:44,9,19,.474,4,8,.500,3,5,.600,0,11,11,8,2,0,6,2,25,18.6,-10
2,3,2017-10-21,20-356,PHO,L (-42),LAC,1,31:47,5,14,.357,0,4,.000,3,4,.750,1,3,4,2,0,0,2,1,13,5.4,-21
3,4,2017-10-23,20-358,PHO,W (+2),SAC,1,28:50,8,16,.500,2,7,.286,4,4,1.000,0,4,4,5,1,0,2,3,22,16.5,+8
4,5,2017-10-25,20-360,PHO,W (+9),UTA,1,32:56,7,19,.368,2,4,.500,1,1,1.000,3,4,7,3,1,1,4,3,17,8.4,+5
5,6,2017-10-28,20-363,PHO,L (-7),POR,1,34:20,11,19,.579,4,7,.571,8,9,.889,0,6,6,6,0,0,4,3,34,25.5,+5
